from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5960105;420;29393;122;77;29612;134;121;30254;150;119;30849;50;29339;45;29377;29
5785641;5960105;383;26777;121;76;27007;143;124;30460;156;116;31055;53;29550;47;29588;29
5785642;5960105;384;26856;121;76;27007;144;125;30578;156;118;31172;53;28952;47;27213;29
5785643;5960105;388;27149;130;82;29067;151;130;30871;156;122;31465;53;31508;47;29769;29
5787544;5960105;413;28904;119;75;29073;130;114;29765;139;112;30360;50;28914;44;28951;28
5787545;5960105;414;28973;119;75;29073;130;115;29834;139;113;30428;50;29200;44;29237;28
5787546;5960105;417;29199;119;75;29073;134;118;30060;150;117;30654;52;27978;47;26239;28
5787547;5960105;381;26663;121;76;27007;149;131;30959;156;124;31554;52;28369;47;26630;28
5787548;5960105;378;26437;121;76;27007;148;127;30687;153;120;31281;52;28490;47;26751;28
5787549;5960105;380;26572;121;76;27007;149;131;30979;156;124;31574;53;28733;47;26995;29
5787550;5960105;416;29154;130;82;29067;163;123;42797;164;121;43411;53;31307;47;29568;29
5789447;5960105;373;26137;109;69;26310;89;70;27593;107;73;27593;46;26724;41;26761;25
5789448;5960105;373;26134;109;69;26307;89;70;27613;107;73;27613;46;27089;41;27126;25
5789449;5960105;374;26194;110;69;26443;89;71;27674;107;74;27674;47;27514;42;27552;26
5789450;5960105;416;29140;110;69;26443;134;117;30001;150;116;30596;47;27833;42;27871;26
5789451;5960105;417;29178;119;75;29073;134;118;30040;150;116;30634;50;29161;44;29198;28
5789452;5960105;373;26099;119;75;29073;148;125;27553;148;118;28148;52;27877;46;26138;28
5789453;5960105;373;26135;121;76;27007;148;126;27590;148;118;28184;52;28054;47;26315;28
5789454;5960105;375;26222;121;76;27007;148;127;27677;149;124;31563;52;28318;47;26579;28
5789455;5960105;377;26398;130;82;29100;153;129;27853;153;122;28447;53;28539;47;26800;29
5789456;5960105;414;28993;130;82;29100;156;121;42636;165;122;35955;59;31217;53;29478;35
5791353;5960105;379;26497;108;68;26616;92;75;27952;112;78;27952;45;26314;40;26352;25
5791354;5960105;375;26264;109;69;26153;89;72;27720;112;75;27720;47;26905;42;26943;25
5791355;5960105;368;25787;109;69;26066;83;67;27381;107;70;27381;46;27086;41;27123;25
5791356;5960105;369;25849;109;69;26014;89;72;27729;112;75;27729;47;27711;42;27749;26
5791357;5960105;371;25937;110;69;26443;92;75;27798;112;78;27798;47;27825;42;27863;26
5791358;5960105;371;25988;110;69;26443;146;124;27442;145;116;28037;47;27372;42;25633;26
5791359;5960105;368;25790;110;69;26443;141;121;27244;138;119;27839;52;27695;46;25956;28
5791360;5960105;369;25844;121;76;27007;143;122;27299;141;114;27893;52;28063;46;26324;28
5791361;5960105;374;26198;130;82;29100;148;127;27652;148;119;28247;52;28417;46;26678;28
5791362;5960105;379;26509;130;82;29100;153;131;27963;156;124;28558;52;28725;47;26987;29
5791363;5960105;414;28988;130;82;29100;156;121;42631;165;122;35950;59;31113;53;29374;35
5793258;5960105;384;26882;112;71;27110;99;81;28338;117;84;28338;47;27578;42;27616;26
5793259;5960105;380;26582;111;71;27054;94;76;28038;112;79;28038;46;27419;42;27456;26
5793260;5960105;380;26617;110;70;26640;94;77;28072;112;80;28072;47;27382;42;27420;25
5793261;5960105;367;25660;108;68;25801;89;71;27517;107;74;27517;47;27163;42;27201;25
5793262;5960105;365;25556;108;68;25843;89;71;27515;107;74;27515;47;27588;42;27626;26
5793263;5960105;366;25603;108;68;25843;98;75;27098;112;78;27098;47;28694;42;28731;26
5793264;5960105;365;25534;107;68;25554;141;117;26989;134;116;27584;51;27316;46;25577;28
5793265;5960105;365;25575;107;68;25493;141;118;27029;135;116;27624;51;27648;46;25909;28
5793266;5960105;365;25584;112;71;25537;141;118;27038;135;117;27633;52;27845;46;26106;28
5793267;5960105;377;26359;112;71;25537;149;129;27813;150;122;28408;52;28640;46;26901;28
5793268;5960105;382;26756;130;82;29100;160;144;29679;156;127;28805;52;28867;47;27128;29
5793269;5960105;412;28854;127;80;28620;170;131;43312;164;129;43927;58;27679;52;25940;34
5793270;5960105;410;28673;127;80;28620;165;128;43132;164;126;43746;58;30568;52;28829;34
5795164;5960105;385;26957;111;71;27054;103;82;28413;117;85;28413;47;27702;42;27740;26
5795165;5960105;386;27039;111;71;27054;106;83;28495;117;86;28495;47;29479;42;29516;26
5795166;5960105;385;26969;107;68;25530;103;82;28425;117;85;28425;50;29328;45;29366;28
5795167;5960105;362;25335;108;68;25767;89;71;26816;112;74;26816;47;27714;42;27751;26
5795168;5960105;362;25335;107;68;25554;89;71;26817;112;74;26817;48;28275;43;28313;27
5795169;5960105;363;25416;107;68;25554;89;73;26911;112;76;26911;48;28498;43;28535;27
5795170;5960105;361;25265;107;68;25493;141;113;26719;131;112;27314;48;27054;43;25315;27
5795171;5960105;360;25184;107;67;25395;141;112;26638;131;111;27232;51;27355;46;25617;28
5795172;5960105;365;25518;112;71;25537;141;117;26973;134;116;27567;52;27798;46;26059;28
5795173;5960105;368;25747;112;71;25537;141;120;27201;135;119;27796;52;27889;46;26150;28
5795174;5960105;365;25556;112;71;25537;141;117;27011;134;116;27605;52;27523;46;25784;28
5795175;5960105;364;25494;112;71;25537;141;117;26948;134;115;27543;52;27659;46;25920;28
5795176;5960105;410;28710;110;70;25348;165;129;43168;164;127;43783;52;27183;47;25444;29
5797069;5960105;370;25916;105;67;25925;108;69;24909;113;98;26354;-1;-1;-1;-1;-1
5797070;5960105;388;27156;105;67;25925;106;84;28612;117;87;28612;48;27981;43;28018;27
5797071;5960105;390;27273;107;68;25530;106;86;28728;117;89;28728;50;29381;45;29418;28
5797072;5960105;363;25426;107;68;25530;89;73;26907;112;76;26907;50;29097;44;29135;27
5797073;5960105;359;25141;107;68;25530;89;69;26622;107;72;26622;48;29182;43;29220;26
5797074;5960105;357;25023;106;67;25285;83;67;26518;107;70;26518;48;28047;43;28084;26
5797075;5960105;360;25232;107;68;25493;89;70;26726;107;73;26726;48;28379;43;28417;27
5797076;5960105;356;24948;107;67;25395;135;109;26402;130;107;26997;49;27001;44;25263;28
5797077;5960105;358;25075;107;67;25395;135;111;26529;131;109;27124;51;27434;46;25695;28
5797078;5960105;363;25408;112;71;25537;141;115;26863;131;114;27457;52;27971;46;26232;28
5797079;5960105;362;25315;112;71;25537;141;114;26770;131;113;27364;52;27808;46;26069;28
5797080;5960105;362;25360;112;71;25537;141;115;26815;131;113;27409;52;27018;46;25279;28
5797081;5960105;362;25346;112;71;25537;141;114;26801;131;113;27395;52;27638;46;25899;28
5797082;5960105;359;25140;110;70;25348;144;127;43032;142;125;43646;52;27170;47;25431;29
5798974;5960105;351;24543;100;64;24494;93;49;23536;95;79;24981;40;24124;37;24162;22
5798975;5960105;393;27516;114;72;27747;108;90;28972;128;93;28972;48;28328;43;28366;27
5798976;5960105;393;27510;114;72;27747;108;90;28966;128;93;28966;48;28216;43;28253;27
5798977;5960105;393;27517;107;68;25530;108;90;28973;128;93;28973;49;29421;44;29458;27
5798978;5960105;357;24956;105;67;24954;89;70;26446;107;73;26446;49;28892;44;28930;27
